========================================================================
Relatório de Mapeamento - elementos DOM (ID / Nome / Role)
========================================================================
ID                             NAME                           ROLE        
------------------------------------------------------------------------
searchtext-input               -                              -           
-                              _authenticator                 -           
check-all                      check-all                      -           
check-group-0                  check-group-0                  -           
check-group-1                  check-group-1                  -           
switch-cookie-10               -                              -           
switch-cookie-11               -                              -           
switch-cookie-12               -                              -           
switch-cookie-13               -                              -           
switch-cookie-14               -                              -           
switch-cookie-15               -                              -           
switch-cookie-16               -                              -           
switch-cookie-17               -                              -           
switch-cookie-18               -                              -           
switch-cookie-19               -                              -           
switch-cookie-110              -                              -           
switch-cookie-111              -                              -           
switch-cookie-112              -                              -           
switch-cookie-113              -                              -           
switch-cookie-114              -                              -           
switch-cookie-115              -                              -           
switch-cookie-116              -                              -           
switch-cookie-117              -                              -           
switch-cookie-118              -                              -           
switch-cookie-119              -                              -           
switch-cookie-120              -                              -           
switch-cookie-121              -                              -           
switch-cookie-122              -                              -           
switch-cookie-123              -                              -           
switch-cookie-124              -                              -           
switch-cookie-125              -                              -           
switch-cookie-126              -                              -           
switch-cookie-127              -                              -           
switch-cookie-128              -                              -           
switch-cookie-129              -                              -           
switch-cookie-130              -                              -           
switch-cookie-131              -                              -           
switch-cookie-132              -                              -           
switch-cookie-133              -                              -           
switch-cookie-134              -                              -           
switch-cookie-135              -                              -           
switch-cookie-136              -                              -           
check-group-2                  check-group-2                  -           
switch-cookie-20               -                              -           
switch-cookie-21               -                              -           
switch-cookie-22               -                              -           
switch-cookie-23               -                              -           
switch-cookie-24               -                              -           
switch-cookie-25               -                              -           
switch-cookie-26               -                              -           
switch-cookie-27               -                              -           
switch-cookie-28               -                              -           
switch-cookie-29               -                              -           
switch-cookie-210              -                              -           
switch-cookie-211              -                              -           
switch-cookie-212              -                              -           
switch-cookie-213              -                              -           
switch-cookie-214              -                              -           
switch-cookie-215              -                              -           
switch-cookie-216              -                              -           
switch-cookie-217              -                              -           
switch-cookie-218              -                              -           
switch-cookie-219              -                              -           
switch-cookie-220              -                              -           
switch-cookie-221              -                              -           
switch-cookie-222              -                              -           
switch-cookie-223              -                              -           
switch-cookie-224              -                              -           
switch-cookie-225              -                              -           
switch-cookie-226              -                              -           
switch-cookie-227              -                              -           
switch-cookie-228              -                              -           
switch-cookie-229              -                              -           
switch-cookie-230              -                              -           
switch-cookie-231              -                              -           
switch-cookie-232              -                              -           
switch-cookie-233              -                              -           
switch-cookie-234              -                              -           
switch-cookie-235              -                              -           
switch-cookie-236              -                              -           
switch-cookie-237              -                              -           
switch-cookie-238              -                              -           
switch-cookie-239              -                              -           
switch-cookie-240              -                              -           
switch-cookie-241              -                              -           
switch-cookie-242              -                              -           
switch-cookie-243              -                              -           
switch-cookie-244              -                              -           
switch-cookie-245              -                              -           
switch-cookie-246              -                              -           
